Number,Type
1,"List((0,00100), (1,110000000000000 : 01100), (2,110000000000000 : 111000000000000 : 01100), (3,110000000000000 : 011000000000000 : 111000000000000 : 01100))"
2,"List((0,01000), (1,001000000000000 : 00100), (2,001000000000000 : 110000000000000 : 01100), (3,001000000000000 : 010000000000000 : 001000000000000 : 00100))"
3,"List((0,00100))"
4,"List((0,00100), (1,110000000000000 : 01100), (2,110000000000000 : 111000000000000 : 01100), (3,110000000000000 : 111000000000000 : 111000000000000 : 01100))"
5,"List((0,01000), (1,001000000000000 : 00100))"
6,"List((0,01000), (1,001000000000000 : 00100), (2,001000000000000 : 110000000000000 : 01100), (3,001000000000000 : 110000000000000 : 111000000000000 : 01100))"
7,"List((0,00100), (1,110000000000000 : 01100), (2,010000000000000 : 001000000000000 : 00100))"
8,"List((0,01000), (1,001000000000000 : 00100), (2,001000000000000 : 110001000000000 : 01100), (3,001000000000000 : 110001000000000 : 111000000000000 : 01100))"
9,"List((0,00100), (1,110001000000000 : 01100), (2,110001000000000 : 111000000000000 : 01100), (3,110001000000000 : 011000000000000 : 111001000000000 : 01100))"
10,"List((0,00100), (1,110001000000000 : 01100), (2,110001000000000 : 111000000000000 : 01100), (3,110001000000000 : 111000000000000 : 111001000000000 : 01100))"
11,"List((0,00100), (1,110000000000000 : 01100), (2,110000000000000 : 111000000000000 : 01100), (3,110000000000000 : 111000000000000 : 111001000000000 : 01100))"
